item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_description,current_status,kewords,topic_group,topic_desc
20225334,STUVA,Tables & desks,545,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-changing-table-desk-white-20225334/,No,        Changing table/desk,IKEA of Sweden,79,102,90,Item discontinued,Item discontinued,,,
99047145,HILVER / LERBERG,Tables & desks,435,No old price,TRUE,https://www.ikea.com/sa/en/p/hilver-lerberg-table-bamboo-grey-s99047145/,No,"        Table,          140x65 cm",Chenyi Ke/IKEA of Sweden,,,65,Item discontinued,Item discontinued,,,
19246144,SKOGSTA / NORRARYD,Tables & desks,3555,"SR 3,945",TRUE,https://www.ikea.com/sa/en/p/skogsta-norraryd-table-and-6-chairs-acacia-black-s19246144/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/Nike Karlsson,,74,100,Item discontinued,Item discontinued,,,
29330811,LINNMON / LERBERG,Tables & desks,175,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-lerberg-table-white-blue-s29330811/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,74,60,Item discontinued,Item discontinued,,,
39335498,LINNMON / ADILS,Tables & desks,145,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-adils-table-green-black-s39335498/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,74,60,Item discontinued,Item discontinued,,,
20116778,BJURSTA,Tables & desks,1195,No old price,TRUE,https://www.ikea.com/sa/en/p/bjursta-extendable-table-brown-black-20116778/,No,"        Extendable table,          115/166 cm",Tord Björklund,,74,,Item discontinued,Item discontinued,,,
49133616,KALLAX,Tables & desks,755,No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-desk-combination-white-blue-s49133616/,Yes,"        Desk combination,          147x147x159 cm",Tord Björklund/IKEA of Sweden,159,147,147,Item discontinued,Item discontinued,,,
89297286,MÖRBYLÅNGA / BALTSAR,Tables & desks,6065,No old price,TRUE,https://www.ikea.com/sa/en/p/moerbylanga-baltsar-table-and-6-chairs-oak-veneer-brown-stained-black-blue-s89297286/,No,"        Table and 6 chairs,          220x100 cm",Carl Öjerstam/S Lanneskog/J Marnell,,,100,Item discontinued,Item discontinued,,,
9213686,GLASHOLM / ODDVALD,Tables & desks,495,No old price,TRUE,https://www.ikea.com/sa/en/p/glasholm-oddvald-table-glass-honeycomb-patterned-black-s09213686/,No,"        Table,          148x73 cm",IKEA of Sweden/Jomi Evers,,71,73,Item discontinued,Item discontinued,,,
9214233,LINNMON / OLOV,Tables & desks,351,SR 385,TRUE,https://www.ikea.com/sa/en/p/linnmon-olov-table-beige-silver-colour-s09214233/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,,60,Item discontinued,Item discontinued,,,
40348664,YPPERLIG,Tables & desks,275,No old price,TRUE,https://www.ikea.com/sa/en/p/ypperlig-childrens-table-beech-dark-red-40348664/,No,"        Children's table,          74x62 cm",HAY,,51,62,Item discontinued,Item discontinued,,,
49289392,BEKANT,Tables & desks,6614,"SR 7,090",TRUE,https://www.ikea.com/sa/en/p/bekant-desk-sit-stand-with-screen-white-stained-oak-veneer-white-s49289392/,Yes,"        Desk sit/stand with screen,          160x160 120 cm",K Malmvall/E Lilja Löwenhielm,,,160,Item discontinued,Item discontinued,,,
49320774,SVALNÄS,Tables & desks,1840,No old price,TRUE,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-workspace-combination-bamboo-white-s49320774/,No,"        Wall-mounted workspace combination,          233x35x176 cm",Jon Karlsson,35,176,233,Item discontinued,Item discontinued,,,
59213839,KLIMPEN,Tables & desks,1315,No old price,TRUE,https://www.ikea.com/sa/en/p/klimpen-table-light-grey-grey-s59213839/,No,"        Table,          120x60 cm",Tina Christensen,,73,60,Item discontinued,Item discontinued,,,
59254165,INGATORP / INGOLF,Tables & desks,2725,No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-nordvalla-beige-s59254165/,No,"        Table and 4 chairs,          110/155 cm",Ebba Strandmark/Carina Bengs,,74,87,Item discontinued,Item discontinued,,,
69214230,LINNMON / KRILLE,Tables & desks,385,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-krille-table-blue-white-s69214230/,Yes,"        Table,          120x60 cm",IKEA of Sweden/Francis Cayouette,,74,60,Item discontinued,Item discontinued,,,
79061180,BEKANT,Tables & desks,6024,"SR 6,590",TRUE,https://www.ikea.com/sa/en/p/bekant-desk-sit-stand-with-screen-white-s79061180/,No,"        Desk sit/stand with screen,          160x160 55 cm",K Malmvall/E Lilja Löwenhielm,,,160,Item discontinued,Item discontinued,,,
79286820,BEKANT,Tables & desks,1039,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s79286820/,Yes,"        Storage unit with smart lock,          41x101 cm",IKEA of Sweden/Eva Lilja Löwenhielm,45,101,41,Item discontinued,Item discontinued,,,
80278305,BEKANT,Tables & desks,2375,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-underframe-sit-stand-crnr-table-el-white-80278305/,Yes,"        Underframe sit/stand crnr table, el,          160x110 cm",K Malmvall/E Lilja Löwenhielm,,,110,Item discontinued,Item discontinued,,,
89331332,LINNMON / ADILS,Tables & desks,235,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-adils-table-light-grey-white-s89331332/,Yes,"        Table,          150x75 cm",IKEA of Sweden,,74,75,Item discontinued,Item discontinued,,,
79161486,MELLTORP / ADDE,Tables & desks,359,No old price,TRUE,https://www.ikea.com/sa/en/p/melltorp-adde-table-and-4-chairs-white-black-s79161486/,No,"        Table and 4 chairs,          125 cm",Marcus Arvonen/Lisa Norinder,,72,75,Item discontinued,Item discontinued,,,
60251335,LINNMON,Tables & desks,195,SR 240,TRUE,https://www.ikea.com/sa/en/p/linnmon-corner-table-top-black-brown-60251335/,Yes,"        Corner table top,          120x120 cm",Jon Karlsson,,,120,Item discontinued,Item discontinued,,,
19220196,LINNMON / OLOV,Tables & desks,285,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-olov-table-white-s19220196/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,,60,Item discontinued,Item discontinued,,,
59221165,GAMLARED / STEFAN,Tables & desks,565,No old price,TRUE,https://www.ikea.com/sa/en/p/gamlared-stefan-table-and-2-chairs-light-antique-stain-brown-black-s59221165/,No,"        Table and 2 chairs,          85 cm",Mikael Axelsson/IKEA of Sweden,,,,Item discontinued,Item discontinued,,,
60261626,GERTON,Tables & desks,80,No old price,TRUE,https://www.ikea.com/sa/en/p/gerton-leg-adjustable-chrome-plated-60261626/,No,"        Leg, adjustable",IKEA of Sweden,,,,Item discontinued,Item discontinued,,,
40219285,NORDLI,Tables & desks,425,No old price,TRUE,https://www.ikea.com/sa/en/p/nordli-bedside-table-white-40219285/,No,"        Bedside table,          30x50 cm",Ola Wihlborg,50,67,30,Item discontinued,Item discontinued,,,
99215681,LINNMON / GODVIN,Tables & desks,205,SR 275,TRUE,https://www.ikea.com/sa/en/p/linnmon-godvin-table-beige-white-s99215681/,Yes,"        Table,          150x75 cm",IKEA of Sweden,,74,75,Item discontinued,Item discontinued,,,
